28.10.2021                                                           PP BOM Evaluation                                                               1
--------------------------------------------------------------------------------------------------------------------------------------------------------
PP BOM Evaluation
--------------------------------------------------------------------------------------------------------------------------------------------------------
|Material  |Material Number                |ICt|Spare|Component |BOM component                           |Item Text Line 1|Item text line 2|Quantity|Un|
|S000511262|Circuit 0037 FLRYA 0.35 L/G    |L  |     |C9706996  |LT Single Wire FLRYA 0.35 L/G           |                |                |    550 |MM|
|S000511262|Circuit 0037 FLRYA 0.35 L/G    |L  |L    |7116731002|Terminal MQS Female 0.64mm Unsealed     |                |                |      1 |PC|
|S000511262|Circuit 0037 FLRYA 0.35 L/G    |L  |R    |7196093902|Terminal Generation Y Female 0.64mm Seal|                |                |      1 |PC|
|S000511263|Circuit 0038 FLRYA 0.35 G/BR   |L  |L    |7116731002|Terminal MQS Female 0.64mm Unsealed     |                |                |      1 |PC|
|S000511263|Circuit 0038 FLRYA 0.35 G/BR   |L  |R    |7196093902|Terminal Generation Y Female 0.64mm Seal|                |                |      1 |PC|
|S000511263|Circuit 0038 FLRYA 0.35 G/BR   |L  |     |C9706968  |LT Single Wire FLRYA 0.35 G/BR          |                |                |    550 |MM|
|S000511264|Circuit 0039 FLRYA 0.35 GY/O   |L  |     |C9706921  |LT Single Wire FLRYA 0.35 GY/O          |                |                |    540 |MM|
|S000511264|Circuit 0039 FLRYA 0.35 GY/O   |L  |L    |7116731002|Terminal MQS Female 0.64mm Unsealed     |                |                |      1 |PC|
|S000511264|Circuit 0039 FLRYA 0.35 GY/O   |L  |R    |7196093902|Terminal Generation Y Female 0.64mm Seal|                |                |      1 |PC|
|S000511265|Circuit 0040 FLRYA 0.35 BR/W   |L  |     |C9706984  |LT Single Wire FLRYA 0.35 BR/W          |                |                |    540 |MM|
|S000511265|Circuit 0040 FLRYA 0.35 BR/W   |L  |L    |7116731002|Terminal MQS Female 0.64mm Unsealed     |                |                |      1 |PC|
|S000511265|Circuit 0040 FLRYA 0.35 BR/W   |L  |R    |7196093902|Terminal Generation Y Female 0.64mm Seal|                |                |      1 |PC|
--------------------------------------------------------------------------------------------------------------------------------------------------------
