
-----------------------------------------------------------------------------------------------------------------------------------------------------------------
PP BOM Evaluation
-----------------------------------------------------------------------------------------------------------------------------------------------------------------
|Material |Material Number |ICt|Spare|Component |BOM component |Item Text Line 1|Item text line 2|Quantity|Un|
|S000721030|Circuit 0035 FLRYB 2.5 GY/R      |L  |R    |7116173402|Terminal Other Female 2.8mm Unsealed    |                |                |      1 |PC|
|S000721030|Circuit 0035 FLRYB 2.5 GY/R      |L  |L    |7158311340|Single Wire Seal White                  |                |                |      1 |PC|
|S000724388|Circuit 0001 FLRYA 0.75 W/V      |L  |     |C97040C1  |LT Single Wire FLRYA 0.75 W/V           |                |                |  1 165 |MM|
|S000724388|Circuit 0001 FLRYA 0.75 W/V      |L  |L    |7112519402|Terminal MQS Female 0.64mm Unsealed     |                |                |      1 |PC|
|S000724388|Circuit 0001 FLRYA 0.75 W/V      |L  |R    |7116403902|Terminal 187 Female 4.8mm Unsealed      |                |                |      1 |PC|
|S000724413|Circuit 0021 FLRYA 0.5 L/BR      |L  |     |C9703998  |LT Single Wire FLRYA 0.5 L/BR           |                |                |    940 |MM|
|S000724413|Circuit 0021 FLRYA 0.5 L/BR      |L  |L    |7126882502|Fuse Terminal                           |                |                |      1 |PC|
|S000724413|Circuit 0021 FLRYA 0.5 L/BR      |L  |R    |7116568302|Terminal GET Female 0.64mm Unsealed     |                |                |      1 |PC|
|S000724414|Circuit 0023 FLRYA 0.75 W        |L  |     |C9704040  |LT Single Wire FLRYA 0.75 W             |                |                |    820 |MM|
|S000724414|Circuit 0023 FLRYA 0.75 W        |L  |L    |7126882602|Fuse Terminal                           |                |                |      1 |PC|
|S000724414|Circuit 0023 FLRYA 0.75 W        |L  |R    |7116390502|Terminal MX 150 Female 1.5mm Sealed     |                |                |      1 |PC|
|S000724421|Circuit 0036 FLRYB 4 GY/O        |L  |     |H2806821  |LT Single Wire FLRYB 4 GY/O             |                |                |    900 |MM|
|S000724421|Circuit 0036 FLRYB 4 GY/O        |L  |L    |71162887  |Terminal 250 M Female 6.3mm Unsealed    |                |                |      1 |PC|
|S000724421|Circuit 0036 FLRYB 4 GY/O        |L  |R    |7116173802|Terminal 110 Female 2.8mm Unsealed      |                |                |      1 |PC|
|S000724424|Circuit 0047 FLRYA 0.5 Y/L       |L  |     |C9703979  |LT Single Wire FLRYA 0.5 Y/L            |                |                |    965 |MM|
|S000724424|Circuit 0047 FLRYA 0.5 Y/L       |L  |L    |7112519402|Terminal MQS Female 0.64mm Unsealed     |                |                |      1 |PC|
|S000724424|Circuit 0047 FLRYA 0.5 Y/L       |L  |R    |71162875  |Terminal 250 M Female 6.3mm Unsealed    |                |                |      1 |PC|
|S000724429|Circuit 0049 FLRYA 1.5 Y/GY      |L  |     |C9706515  |LT Single Wire FLRYA 1.5 Y/GY           |                |                |  1 550 |MM|
|S000724429|Circuit 0049 FLRYA 1.5 Y/GY      |L  |L    |7116488002|Terminal 110 Female 2.8mm Sealed        |                |                |      1 |PC|
|S000724429|Circuit 0049 FLRYA 1.5 Y/GY      |L  |R    |7116262602|Terminal 250 Female 6.3mm Unsealed      |                |                |      1 |PC|
|S000724429|Circuit 0049 FLRYA 1.5 Y/GY      |L  |L    |7158311340|Single Wire Seal White                  |                |                |      1 |PC|
|S000724451|Circuit 0134 FLRYA 0.5 W/L       |L  |     |C9703949  |LT Single Wire FLRYA 0.5 W/L            |                |                |    820 |MM|
|S000724451|Circuit 0134 FLRYA 0.5 W/L       |L  |L    |7112519402|Terminal MQS Female 0.64mm Unsealed     |                |                |      1 |PC|
|S000724451|Circuit 0134 FLRYA 0.5 W/L       |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S000724452|Circuit 0140 FLRYA 0.5 W         |L  |     |C9703940  |LT Single Wire FLRYA 0.5 W              |                |                |    820 |MM|
|S000724452|Circuit 0140 FLRYA 0.5 W         |L  |L    |7112519402|Terminal MQS Female 0.64mm Unsealed     |                |                |      1 |PC|
|S000724452|Circuit 0140 FLRYA 0.5 W         |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S000724456|Circuit 0148 FLRYA 0.5 V/GY      |L  |L    |7112519402|Terminal MQS Female 0.64mm Unsealed     |                |                |      1 |PC|
|S000724456|Circuit 0148 FLRYA 0.5 V/GY      |L  |R    |7116568302|Terminal GET Female 0.64mm Unsealed     |                |                |      1 |PC|
|S000724456|Circuit 0148 FLRYA 0.5 V/GY      |L  |     |C97039G5  |LT Single Wire FLRYA 0.5 V/GY           |                |                |  1 835 |MM|
|S000724463|Circuit 0065 FLRYA 0.75 W/BR     |L  |     |C9704048  |LT Single Wire FLRYA 0.75 W/BR          |                |                |  1 050 |MM|
|S000724463|Circuit 0065 FLRYA 0.75 W/BR     |L  |L    |7112519402|Terminal MQS Female 0.64mm Unsealed     |                |                |      1 |PC|
|S000724463|Circuit 0065 FLRYA 0.75 W/BR     |L  |R    |7116403902|Terminal 187 Female 4.8mm Unsealed      |                |                |      1 |PC|
|S000731115|Circuit 0116 FLRYA 0.75 GY/V     |L  |     |C97040K2  |LT Single Wire FLRYA 0.75 GY/V          |                |                |    750 |MM|
|S000731115|Circuit 0116 FLRYA 0.75 GY/V     |L  |L    |7116390502|Terminal MX 150 Female 1.5mm Sealed     |                |                |      1 |PC|
|S000731115|Circuit 0116 FLRYA 0.75 GY/V     |L  |R    |7112519402|Terminal MQS Female 0.64mm Unsealed     |                |                |      1 |PC|
|S000731118|Circuit 0119 FLRYA 0.75 L        |L  |     |C9704090  |LT Single Wire FLRYA 0.75 L             |                |                |    740 |MM|
|S000731118|Circuit 0119 FLRYA 0.75 L        |L  |L    |7116390502|Terminal MX 150 Female 1.5mm Sealed     |                |                |      1 |PC|
|S000731118|Circuit 0119 FLRYA 0.75 L        |L  |R    |7112519402|Terminal MQS Female 0.64mm Unsealed     |                |                |      1 |PC|
|S000731129|Circuit 0159 FLRYA 0.75 V/GY     |L  |     |C97040G5  |LT Single Wire FLRYA 0.75 V/GY          |                |                |    755 |MM|
|S000731129|Circuit 0159 FLRYA 0.75 V/GY     |L  |L    |7116390502|Terminal MX 150 Female 1.5mm Sealed     |                |                |      1 |PC|
|S000731129|Circuit 0159 FLRYA 0.75 V/GY     |L  |R    |7112519402|Terminal MQS Female 0.64mm Unsealed     |                |                |      1 |PC|
|S000741244|Circuit 0013 ACW0219 0.75 BR/V   |L  |     |H75040J0  |LT Single Wire ACW0219 0.75 BR/V        |                |                |    990 |MM|
|S000741244|Circuit 0013 ACW0219 0.75 BR/V   |L  |L    |7116390502|Terminal MX 150 Female 1.5mm Sealed     |                |                |      1 |PC|
|S000741244|Circuit 0013 ACW0219 0.75 BR/V   |L  |R    |7116505708|Terminal MX 150 Female 1.5mm Sealed     |                |                |      1 |PC|
|S000741244|Circuit 0013 ACW0219 0.75 BR/V   |L  |R    |7157339660|Single Wire Seal Green                  |                |                |      1 |PC|
|S000754278|Circuit 0012 FLRYA 0.50 W/O      |L  |     |C97039E1  |LT Single Wire FLRYA 0.5 W/O            |                |                |    425 |MM|
|S000754278|Circuit 0012 FLRYA 0.50 W/O      |L  |L    |7116278502|Terminal 0.250 POSITIVE LOCK Female 6.3m|                |                |      1 |PC|
|S000754278|Circuit 0012 FLRYA 0.50 W/O      |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S000754279|Circuit 0011 FLRYA 0.50 W/O      |L  |     |C97039E1  |LT Single Wire FLRYA 0.5 W/O            |                |                |    675 |MM|
|S000754279|Circuit 0011 FLRYA 0.50 W/O      |L  |L    |7116278502|Terminal 0.250 POSITIVE LOCK Female 6.3m|                |                |      1 |PC|
|S000754279|Circuit 0011 FLRYA 0.50 W/O      |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S000758312|Circuit 0092 FLRYA 0.5 B         |X  |     |          |                                        |KS74010000      |L               |      1 |PC|
|S000758312|Circuit 0092 FLRYA 0.5 B         |L  |L    |7039283330|Shrink Tube 5.75mm L:30mm  B            |                |                |      1 |PC|
|S000758312|Circuit 0092 FLRYA 0.5 B         |L  |R    |7116390402|Terminal MX 150 Female 1.5mm Sealed     |                |                |      1 |PC|
|S000758312|Circuit 0092 FLRYA 0.5 B         |L  |     |C9703930  |LT Single Wire FLRYA 0.5 B              |                |                |    230 |MM|
|S000759272|Circuit 0060 FLRYB 6 BR          |L  |     |H2806780  |LT Single Wire FLRYB 6 BR               |                |                |    615 |MM|
|S000759272|Circuit 0060 FLRYB 6 BR          |L  |L    |71163250  |Terminal 375 L Female 9.5mm Sealed      |                |                |      1 |PC|
|S000759272|Circuit 0060 FLRYB 6 BR          |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S000759273|Circuit 0061 FLRYB 6 BR          |L  |     |H2806780  |LT Single Wire FLRYB 6 BR               |                |                |    330 |MM|
|S000759273|Circuit 0061 FLRYB 6 BR          |L  |L    |71163250  |Terminal 375 L Female 9.5mm Sealed      |                |                |      1 |PC|
|S000759273|Circuit 0061 FLRYB 6 BR          |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S000759273|Circuit 0061 FLRYB 6 BR          |L  |L    |7158303450|Single Wire Seal Red                    |                |                |      1 |PC|
|S000762471|Circuit 0030 FLRYA 0.75 W/V      |L  |     |C97040C1  |LT Single Wire FLRYA 0.75 W/V           |                |                |  1 135 |MM|
|S000762471|Circuit 0030 FLRYA 0.75 W/V      |L  |L    |7116568302|Terminal GET Female 0.64mm Unsealed     |                |                |      1 |PC|
|S000762471|Circuit 0030 FLRYA 0.75 W/V      |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S000762489|Circuit 0007 FLRYA 0.75 W/V      |L  |L    |7116568302|Terminal GET Female 0.64mm Unsealed     |                |                |      1 |PC|
|S000762489|Circuit 0007 FLRYA 0.75 W/V      |L  |R    |7116568302|Terminal GET Female 0.64mm Unsealed     |                |                |      1 |PC|
|S000762489|Circuit 0007 FLRYA 0.75 W/V      |L  |     |C97040C1  |LT Single Wire FLRYA 0.75 W/V           |                |                |  1 695 |MM|
|S000764835|Circuit 0061 FLRYB 6 BR          |L  |     |H2806780  |LT Single Wire FLRYB 6 BR               |                |                |    300 |MM|
|S000764835|Circuit 0061 FLRYB 6 BR          |L  |L    |71163250  |Terminal 375 L Female 9.5mm Sealed      |                |                |      1 |PC|
|S000764835|Circuit 0061 FLRYB 6 BR          |X  |     |          |                                        |KS74780130      |R               |      1 |PC|
|S000764835|Circuit 0061 FLRYB 6 BR          |L  |L    |7158303450|Single Wire Seal Red                    |                |                |      1 |PC|
|S000766263|Circuit 0220 FLRYB 6 BR          |L  |     |H2806780  |LT Single Wire FLRYB 6 BR               |                |                |    470 |MM|
|S000766263|Circuit 0220 FLRYB 6 BR          |L  |L    |71163250  |Terminal 375 L Female 9.5mm Sealed      |                |                |      1 |PC|
|S000766263|Circuit 0220 FLRYB 6 BR          |X  |     |          |                                        |KS74780130      |R               |      1 |PC|
|S000766264|Circuit 0221 FLRYB 6 BR          |X  |     |          |                                        |KS74780130      |R               |      1 |PC|
|S000766264|Circuit 0221 FLRYB 6 BR          |L  |L    |71163250  |Terminal 375 L Female 9.5mm Sealed      |                |                |      1 |PC|
|S000766264|Circuit 0221 FLRYB 6 BR          |L  |L    |7158303450|Single Wire Seal Red                    |                |                |      1 |PC|
|S000766264|Circuit 0221 FLRYB 6 BR          |L  |     |H2806780  |LT Single Wire FLRYB 6 BR               |                |                |    150 |MM|
|S000794441|Circuit 0020 A3F  0.75 GY/L      |L  |     |0Q204011  |LT Single Wire A3F 0.75 GY/L            |                |                |    795 |MM|
|S000794441|Circuit 0020 A3F  0.75 GY/L      |L  |L    |7126882602|Fuse Terminal                           |                |                |      1 |PC|
|S000794441|Circuit 0020 A3F  0.75 GY/L      |L  |R    |7116390502|Terminal MX 150 Female 1.5mm Sealed     |                |                |      1 |PC|
|S000802407|Circuit 0047 FLRYA 0.75 B/G      |L  |     |C9704036  |LT Single Wire FLRYA 0.75 B/G           |                |                |  1 145 |MM|
|S000802407|Circuit 0047 FLRYA 0.75 B/G      |L  |L    |7116568302|Terminal GET Female 0.64mm Unsealed     |                |                |      1 |PC|
|S000802407|Circuit 0047 FLRYA 0.75 B/G      |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S001201802|Circuit 0168 FLRYA 0.5 G/W       |L  |     |C9703964  |LT Single Wire FLRYA 0.5 G/W            |                |                |  1 020 |MM|
|S001201802|Circuit 0168 FLRYA 0.5 G/W       |L  |L    |7112519402|Terminal MQS Female 0.64mm Unsealed     |                |                |      1 |PC|
|S001201802|Circuit 0168 FLRYA 0.5 G/W       |L  |R    |7116390402|Terminal MX 150 Female 1.5mm Sealed     |                |                |      1 |PC|
|S001201818|Circuit 0052 FLRYA 1.5 Y/GY      |L  |     |C9706515  |LT Single Wire FLRYA 1.5 Y/GY           |                |                |  1 640 |MM|
|S001201818|Circuit 0052 FLRYA 1.5 Y/GY      |L  |L    |7116262602|Terminal 250 Female 6.3mm Unsealed      |                |                |      1 |PC|
|S001201818|Circuit 0052 FLRYA 1.5 Y/GY      |L  |R    |7116488002|Terminal 110 Female 2.8mm Sealed        |                |                |      1 |PC|
|S001201818|Circuit 0052 FLRYA 1.5 Y/GY      |L  |R    |7158311340|Single Wire Seal White                  |                |                |      1 |PC|
|S001375231|Circuit 0170 FLRYB 4 B/L         |L  |     |H2806839  |LT Single Wire FLRYB 4 B/L              |                |                |  1 630 |MM|
|S001375231|Circuit 0170 FLRYB 4 B/L         |L  |L    |7116414202|Terminal YESC Female 6.3mm Sealed       |                |                |      1 |PC|
|S001375231|Circuit 0170 FLRYB 4 B/L         |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S001375231|Circuit 0170 FLRYB 4 B/L         |L  |L    |71583083  |Single Wire Seal Black                  |                |                |      1 |PC|
|S001375232|Circuit 0171 FLRYB 4 B/L         |L  |     |H2806839  |LT Single Wire FLRYB 4 B/L              |                |                |  1 040 |MM|
|S001375232|Circuit 0171 FLRYB 4 B/L         |L  |L    |71163251  |Terminal 375 L Female 9.5mm Unsealed    |                |                |      1 |PC|
|S001375232|Circuit 0171 FLRYB 4 B/L         |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S001565342|Circuit 0005 FLRYA 0.5 G/V       |L  |     |C9703966  |LT Single Wire FLRYA 0.5 G/V            |                |                |    460 |MM|
|S001565342|Circuit 0005 FLRYA 0.5 G/V       |L  |L    |7116278502|Terminal 0.250 POSITIVE LOCK Female 6.3m|                |                |      1 |PC|
|S001565342|Circuit 0005 FLRYA 0.5 G/V       |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S001565344|Circuit 0008 FLRYA 0.75 G/V      |L  |     |C9704066  |LT Single Wire FLRYA 0.75 G/V           |                |                |    995 |MM|
|S001565344|Circuit 0008 FLRYA 0.75 G/V      |L  |L    |7116568302|Terminal GET Female 0.64mm Unsealed     |                |                |      1 |PC|
|S001565344|Circuit 0008 FLRYA 0.75 G/V      |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S001565350|Circuit 0028 FLRYA 0.5 GY/O      |L  |     |C9703921  |LT Single Wire FLRYA 0.5 GY/O           |                |                |  1 205 |MM|
|S001565350|Circuit 0028 FLRYA 0.5 GY/O      |L  |L    |7116568302|Terminal GET Female 0.64mm Unsealed     |                |                |      1 |PC|
|S001565350|Circuit 0028 FLRYA 0.5 GY/O      |L  |R    |7116439502|Terminal GET Female 0.64mm Unsealed     |                |                |      1 |PC|
|S001565351|Circuit 0029 FLRYA 0.5 V/O       |L  |L    |7116568302|Terminal GET Female 0.64mm Unsealed     |                |                |      1 |PC|
|S001565351|Circuit 0029 FLRYA 0.5 V/O       |L  |R    |7116439502|Terminal GET Female 0.64mm Unsealed     |                |                |      1 |PC|
|S001565351|Circuit 0029 FLRYA 0.5 V/O       |L  |     |C97039E3  |LT Single Wire FLRYA 0.5 V/O            |                |                |  1 205 |MM|
|S001565354|Circuit 0018 FLRYA 0.5 B/G       |L  |     |C9703936  |LT Single Wire FLRYA 0.5 B/G            |                |                |  1 260 |MM|
|S001565354|Circuit 0018 FLRYA 0.5 B/G       |L  |L    |7116439502|Terminal GET Female 0.64mm Unsealed     |                |                |      1 |PC|
|S001565354|Circuit 0018 FLRYA 0.5 B/G       |L  |R    |7116439502|Terminal GET Female 0.64mm Unsealed     |                |                |      1 |PC|
|S001565356|Circuit 0027 FLRYA 0.35 V/R      |L  |     |C97069G4  |LT Single Wire FLRYA 0.35 V/R           |                |                |  1 255 |MM|
|S001565356|Circuit 0027 FLRYA 0.35 V/R      |L  |L    |7116439402|Terminal GET Female 0.64mm Unsealed     |                |                |      1 |PC|
|S001565356|Circuit 0027 FLRYA 0.35 V/R      |L  |R    |7116439402|Terminal GET Female 0.64mm Unsealed     |                |                |      1 |PC|
|S001565363|Circuit 0003 FLRYA 0.75 G/V      |L  |     |C9704066  |LT Single Wire FLRYA 0.75 G/V           |                |                |    775 |MM|
|S001565363|Circuit 0003 FLRYA 0.75 G/V      |L  |L    |7116730802|Terminal MQS Female 0.64mm Unsealed     |                |                |      1 |PC|
|S001565363|Circuit 0003 FLRYA 0.75 G/V      |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S001565364|Circuit 0004 FLRYA 0.75 G/V      |L  |     |C9704066  |LT Single Wire FLRYA 0.75 G/V           |                |                |    570 |MM|
|S001565364|Circuit 0004 FLRYA 0.75 G/V      |L  |L    |7116730802|Terminal MQS Female 0.64mm Unsealed     |                |                |      1 |PC|
|S001565364|Circuit 0004 FLRYA 0.75 G/V      |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S001565366|Circuit 0006 FLRYA 0.5 G/V       |L  |     |C9703966  |LT Single Wire FLRYA 0.5 G/V            |                |                |    645 |MM|
|S001565366|Circuit 0006 FLRYA 0.5 G/V       |L  |L    |7116278502|Terminal 0.250 POSITIVE LOCK Female 6.3m|                |                |      1 |PC|
|S001565366|Circuit 0006 FLRYA 0.5 G/V       |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S001565403|Circuit 0011 FLRYA 0.5 BR/L      |L  |R    |71161282  |Terminal 070 family Female 1.8mm Unseale|                |                |      1 |PC|
|S001565403|Circuit 0011 FLRYA 0.5 BR/L      |L  |L    |7116568302|Terminal GET Female 0.64mm Unsealed     |                |                |      1 |PC|
|S001565403|Circuit 0011 FLRYA 0.5 BR/L      |L  |     |C9703989  |LT Single Wire FLRYA 0.5 BR/L           |                |                |  1 425 |MM|
|S001565404|Circuit 0025 FLRYA 0.5 L/G       |L  |R    |71161282  |Terminal 070 family Female 1.8mm Unseale|                |                |      1 |PC|
|S001565404|Circuit 0025 FLRYA 0.5 L/G       |L  |L    |7116568302|Terminal GET Female 0.64mm Unsealed     |                |                |      1 |PC|
|S001565404|Circuit 0025 FLRYA 0.5 L/G       |L  |     |C9703996  |LT Single Wire FLRYA 0.5 L/G            |                |                |  1 425 |MM|
|S001565405|Circuit 0007 FLRYA 0.75 G/V      |L  |     |C9704066  |LT Single Wire FLRYA 0.75 G/V           |                |                |  1 455 |MM|
|S001565405|Circuit 0007 FLRYA 0.75 G/V      |L  |L    |7116568302|Terminal GET Female 0.64mm Unsealed     |                |                |      1 |PC|
|S001565405|Circuit 0007 FLRYA 0.75 G/V      |L  |R    |7116278502|Terminal 0.250 POSITIVE LOCK Female 6.3m|                |                |      1 |PC|
|S001628957|Circuit 0003 ACW0219 0.75 L      |L  |     |H7504090  |LT Single Wire ACW0219 0.75 L           |                |                |    715 |MM|
|S001628957|Circuit 0003 ACW0219 0.75 L      |L  |L    |7116410308|Terminal YESC Female 1.5mm Sealed       |                |                |      1 |PC|
|S001628957|Circuit 0003 ACW0219 0.75 L      |L  |R    |7116390502|Terminal MX 150 Female 1.5mm Sealed     |                |                |      1 |PC|
|S001628957|Circuit 0003 ACW0219 0.75 L      |L  |L    |7157339660|Single Wire Seal Green                  |                |                |      1 |PC|
|S001702264|Circuit 0053 FLRYA 1.5 BR/G      |L  |L    |7116415202|Terminal YESC Female 2.8mm Sealed       |                |                |      1 |PC|
|S001702264|Circuit 0053 FLRYA 1.5 BR/G      |L  |R    |7116488002|Terminal 110 Female 2.8mm Sealed        |                |                |      1 |PC|
|S001702264|Circuit 0053 FLRYA 1.5 BR/G      |L  |L    |7158311340|Single Wire Seal White                  |                |                |      1 |PC|
|S001702264|Circuit 0053 FLRYA 1.5 BR/G      |L  |R    |7158311340|Single Wire Seal White                  |                |                |      1 |PC|
|S001702264|Circuit 0053 FLRYA 1.5 BR/G      |L  |     |C9706586  |LT Single Wire FLRYA 1.5 BR/G           |                |                |  1 020 |MM|
|S001713147|Circuit 0251 FLRYA 0.5 BR/R      |L  |     |C9703985  |LT Single Wire FLRYA 0.5 BR/R           |                |                |    290 |MM|
|S001713147|Circuit 0251 FLRYA 0.5 BR/R      |L  |L    |71162875  |Terminal 250 M Female 6.3mm Unsealed    |                |                |      1 |PC|
|S001713147|Circuit 0251 FLRYA 0.5 BR/R      |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S001713149|Circuit 0253 FLRYA 0.5 BR/R      |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S001713149|Circuit 0253 FLRYA 0.5 BR/R      |L  |L    |71162875  |Terminal 250 M Female 6.3mm Unsealed    |                |                |      1 |PC|
|S001713149|Circuit 0253 FLRYA 0.5 BR/R      |L  |     |C9703985  |LT Single Wire FLRYA 0.5 BR/R           |                |                |    310 |MM|
|S001828376|Circuit 0016 FLRYA 0.5 B/L       |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S001828376|Circuit 0016 FLRYA 0.5 B/L       |L  |L    |7116278502|Terminal 0.250 POSITIVE LOCK Female 6.3m|                |                |      1 |PC|
|S001828376|Circuit 0016 FLRYA 0.5 B/L       |L  |     |C9703939  |LT Single Wire FLRYA 0.5 B/L            |                |                |    680 |MM|
|S001828377|Circuit 0017 FLRYA 0.5 B/L       |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S001828377|Circuit 0017 FLRYA 0.5 B/L       |L  |L    |7116278502|Terminal 0.250 POSITIVE LOCK Female 6.3m|                |                |      1 |PC|
|S001828377|Circuit 0017 FLRYA 0.5 B/L       |L  |     |C9703939  |LT Single Wire FLRYA 0.5 B/L            |                |                |    425 |MM|
|S001828390|Circuit 0033 FLRYA 0.35 G/O      |L  |     |C9706918  |LT Single Wire FLRYA 0.35 G/O           |                |                |    405 |MM|
|S001828390|Circuit 0033 FLRYA 0.35 G/O      |L  |L    |7116439402|Terminal GET Female 0.64mm Unsealed     |                |                |      1 |PC|
|S001828390|Circuit 0033 FLRYA 0.35 G/O      |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S001828391|Circuit 0037 FLRYA 0.35 GY/L     |L  |     |C9706911  |LT Single Wire FLRYA 0.35 GY/L          |                |                |    405 |MM|
|S001828391|Circuit 0037 FLRYA 0.35 GY/L     |L  |L    |7116439402|Terminal GET Female 0.64mm Unsealed     |                |                |      1 |PC|
|S001828391|Circuit 0037 FLRYA 0.35 GY/L     |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S001828399|Twisted Wire 03 FLRYAT  ZZ       |L  |M    |S001828390|Circuit 0033 FLRYA 0.35 G/O             |                |                |      1 |PC|
|S001828399|Twisted Wire 03 FLRYAT  ZZ       |L  |M    |S001828391|Circuit 0037 FLRYA 0.35 GY/L            |                |                |      1 |PC|
|S001828399|Twisted Wire 03 FLRYAT  ZZ       |L  |     |4304F1930 |PVC/Vinyl Tape 19mm B                   |                |                |    100 |MM|
|S001829617|Circuit 0003 FLRYA 0.75 G/L      |L  |     |C9704069  |LT Single Wire FLRYA 0.75 G/L           |                |                |    445 |MM|
|S001829617|Circuit 0003 FLRYA 0.75 G/L      |L  |L    |7116568302|Terminal GET Female 0.64mm Unsealed     |                |                |      1 |PC|
|S001829617|Circuit 0003 FLRYA 0.75 G/L      |L  |R    |7116410102|Terminal YESC Female 1.5mm Unsealed     |                |                |      1 |PC|
|S001829619|Circuit 0004 FLRYA 0.75 V/GY     |L  |     |C97040G5  |LT Single Wire FLRYA 0.75 V/GY          |                |                |    950 |MM|
|S001829619|Circuit 0004 FLRYA 0.75 V/GY     |L  |L    |7116568302|Terminal GET Female 0.64mm Unsealed     |                |                |      1 |PC|
|S001829619|Circuit 0004 FLRYA 0.75 V/GY     |L  |R    |7116410102|Terminal YESC Female 1.5mm Unsealed     |                |                |      1 |PC|
|S001842012|Circuit 0006 FLRYA 0.75 B/Y      |L  |     |C9704037  |LT Single Wire FLRYA 0.75 B/Y           |                |                |    485 |MM|
|S001842012|Circuit 0006 FLRYA 0.75 B/Y      |L  |L    |7196094602|Terminal Generation Y Female 0.64mm Unse|                |                |      1 |PC|
|S001842012|Circuit 0006 FLRYA 0.75 B/Y      |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S001842041|Circuit 0008 FLRYA 0.75 B/Y      |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S001842041|Circuit 0008 FLRYA 0.75 B/Y      |L  |L    |7196094602|Terminal Generation Y Female 0.64mm Unse|                |                |      1 |PC|
|S001842041|Circuit 0008 FLRYA 0.75 B/Y      |L  |     |C9704037  |LT Single Wire FLRYA 0.75 B/Y           |                |                |    895 |MM|
|S001995235|Circuit 0087 FLRYA 1.5 B/G       |X  |     |          |                                        |KS74780130      |R               |      1 |PC|
|S001995235|Circuit 0087 FLRYA 1.5 B/G       |L  |L    |7157394080|Single Wire Seal Brown                  |                |                |      1 |PC|
|S001995235|Circuit 0087 FLRYA 1.5 B/G       |L  |L    |7316809202|Terminal JPT Female 2.8mm Sealed        |                |                |      1 |PC|
|S001995235|Circuit 0087 FLRYA 1.5 B/G       |L  |     |C9706536  |LT Single Wire FLRYA 1.5 B/G            |                |                |  1 020 |MM|
|S001995239|Circuit 0087 FLRYA 1.5 B/G       |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S001995239|Circuit 0087 FLRYA 1.5 B/G       |L  |L    |7157394080|Single Wire Seal Brown                  |                |                |      1 |PC|
|S001995239|Circuit 0087 FLRYA 1.5 B/G       |L  |L    |7316809202|Terminal JPT Female 2.8mm Sealed        |                |                |      1 |PC|
|S001995239|Circuit 0087 FLRYA 1.5 B/G       |L  |     |C9706536  |LT Single Wire FLRYA 1.5 B/G            |                |                |    760 |MM|
|S002038975|Circuit 0061 FLRYA 0.75 B        |L  |     |C9704030  |LT Single Wire FLRYA 0.75 B             |                |                |  1 200 |MM|
|S002038975|Circuit 0061 FLRYA 0.75 B        |L  |L    |7116410302|Terminal YESC Female 1.5mm Sealed       |                |                |      1 |PC|
|S002038975|Circuit 0061 FLRYA 0.75 B        |X  |     |          |                                        |KS74780150      |R               |      1 |PC|
|S002038975|Circuit 0061 FLRYA 0.75 B        |L  |L    |7158303190|Single Wire Seal Blue                   |                |                |      1 |PC|
|S002039190|Circuit 0024 FLRYA 0.35W/O       |L  |     |C97069E1  |LT Single Wire FLRYA 0.35 W/O           |                |                |  1 460 |MM|
|S002039190|Circuit 0024 FLRYA 0.35W/O       |L  |L    |7116439402|Terminal GET Female 0.64mm Unsealed     |                |                |      1 |PC|
|S002039190|Circuit 0024 FLRYA 0.35W/O       |L  |R    |7116517602|Terminal 110 Female 2.8mm Unsealed      |                |                |      1 |PC|
|S002179142|Circuit 0121 FLRYA 0.5 V/GY      |L  |L    |7112519402|Terminal MQS Female 0.64mm Unsealed     |                |                |      1 |PC|
|S002179142|Circuit 0121 FLRYA 0.5 V/GY      |L  |R    |7116568302|Terminal GET Female 0.64mm Unsealed     |                |                |      1 |PC|
|S002179142|Circuit 0121 FLRYA 0.5 V/GY      |L  |     |C97039G5  |LT Single Wire FLRYA 0.5 V/GY           |                |                |  1 885 |MM|
