
-----------------------------------------------------------------------------------------------------------------------------------------------------------------
PP BOM Evaluation
-----------------------------------------------------------------------------------------------------------------------------------------------------------------
|Material |Material Number |ICt|Spare|Component |BOM component |Item Text Line 1|Item text line 2|Quantity|Un|
|S000626894|Circuit 0098 FLRYA 0.75 G/BR     |L  |L    |7112519402|Terminal MQS Female 0.64mm Unsealed     |                |                |      1 |PC|
|S000626894|Circuit 0098 FLRYA 0.75 G/BR     |L  |R    |7116390502|Terminal MX 150 Female 1.5mm Sealed     |                |                |      1 |PC|
|S000626897|Circuit 0101 FLRYA 0.75 GY/V     |L  |     |C97040K2  |LT Single Wire FLRYA 0.75 GY/V          |                |                |    750 |MM|
|S000626897|Circuit 0101 FLRYA 0.75 GY/V     |L  |L    |7112519402|Terminal MQS Female 0.64mm Unsealed     |                |                |      1 |PC|
|S000626897|Circuit 0101 FLRYA 0.75 GY/V     |L  |R    |7116390502|Terminal MX 150 Female 1.5mm Sealed     |                |                |      1 |PC|
|S000626904|Circuit 0109 FLRYA 0.5 GY/Y      |L  |     |C9703926  |LT Single Wire FLRYA 0.5 GY/Y           |                |                |    935 |MM|
|S000626904|Circuit 0109 FLRYA 0.5 GY/Y      |L  |L    |7112519402|Terminal MQS Female 0.64mm Unsealed     |                |                |      1 |PC|
|S000626904|Circuit 0109 FLRYA 0.5 GY/Y      |L  |R    |7116390402|Terminal MX 150 Female 1.5mm Sealed     |                |                |      1 |PC|
|S000626910|Circuit 0147 FLRYA 0.75 Y/GY     |L  |     |C9704015  |LT Single Wire FLRYA 0.75 Y/GY          |                |                |    755 |MM|
|S000626910|Circuit 0147 FLRYA 0.75 Y/GY     |L  |L    |7112519402|Terminal MQS Female 0.64mm Unsealed     |                |                |      1 |PC|
|S000626910|Circuit 0147 FLRYA 0.75 Y/GY     |L  |R    |7116390502|Terminal MX 150 Female 1.5mm Sealed     |                |                |      1 |PC|
|S000626916|Circuit 0155 FLRYA 0.5 L/BR      |L  |     |C9703998  |LT Single Wire FLRYA 0.5 L/BR           |                |                |    945 |MM|
|S000626916|Circuit 0155 FLRYA 0.5 L/BR      |L  |L    |7112519402|Terminal MQS Female 0.64mm Unsealed     |                |                |      1 |PC|
|S000626916|Circuit 0155 FLRYA 0.5 L/BR      |L  |R    |7116390402|Terminal MX 150 Female 1.5mm Sealed     |                |                |      1 |PC|
|S000626917|Circuit 0158 FLRYA 0.5 G/W       |L  |     |C9703964  |LT Single Wire FLRYA 0.5 G/W            |                |                |    975 |MM|
|S000626917|Circuit 0158 FLRYA 0.5 G/W       |L  |L    |7112519402|Terminal MQS Female 0.64mm Unsealed     |                |                |      1 |PC|
|S000626917|Circuit 0158 FLRYA 0.5 G/W       |L  |R    |7116390402|Terminal MX 150 Female 1.5mm Sealed     |                |                |      1 |PC|
|S000634935|Circuit 0079 FLRYA 0.5 BR/V      |L  |     |C97039J0  |LT Single Wire FLRYA 0.5 BR/V           |                |                |  2 025 |MM|
|S000634935|Circuit 0079 FLRYA 0.5 BR/V      |L  |L    |7114415002|Terminal YESC Male 2.8mm Sealed         |                |                |      1 |PC|
|S000634935|Circuit 0079 FLRYA 0.5 BR/V      |L  |R    |7116390402|Terminal MX 150 Female 1.5mm Sealed     |                |                |      1 |PC|
|S000634935|Circuit 0079 FLRYA 0.5 BR/V      |L  |L    |7158311160|Single Wire Seal Green                  |                |                |      1 |PC|
|S000636184|Circuit 0129 FLRYB 2.5 V/R       |L  |     |H28070G4  |LT Single Wire FLRYB 2.5 V/R            |                |                |    200 |MM|
|S000636184|Circuit 0129 FLRYB 2.5 V/R       |L  |L    |7114235102|Terminal 250 Male 6.3mm Unsealed        |                |                |      1 |PC|
|S000636184|Circuit 0129 FLRYB 2.5 V/R       |L  |R    |71162877  |Terminal 250 M Female 6.3mm Unsealed    |                |                |      1 |PC|
|S000636211|Circuit 0181 FLRYB 4 W/R         |L  |     |H2806845  |LT Single Wire FLRYB 4 W/R              |                |                |    200 |MM|
|S000636211|Circuit 0181 FLRYB 4 W/R         |L  |L    |71162887  |Terminal 250 M Female 6.3mm Unsealed    |                |                |      1 |PC|
|S000636211|Circuit 0181 FLRYB 4 W/R         |L  |R    |7114235202|Terminal 250 Male 6.3mm Unsealed        |                |                |      1 |PC|
|S000645578|Circuit 0071 FLRYB 2.5 V/W       |L  |L    |71162877  |Terminal 250 M Female 6.3mm Unsealed    |                |                |      1 |PC|
|S000645578|Circuit 0071 FLRYB 2.5 V/W       |L  |R    |71162877  |Terminal 250 M Female 6.3mm Unsealed    |                |                |      1 |PC|
|S000645578|Circuit 0071 FLRYB 2.5 V/W       |L  |     |H2807033  |LT Single Wire FLRYB 2.5 V/W            |                |                |    200 |MM|
|S000653887|Circuit 0095 FLRYA 1.5 B/G       |X  |     |          |                                        |KS74780170      |R               |      1 |PC|
|S000653887|Circuit 0095 FLRYA 1.5 B/G       |L  |L    |7116378702|Terminal 060 Female 1.5mm Unsealed      |                |                |      1 |PC|
|S000653887|Circuit 0095 FLRYA 1.5 B/G       |L  |     |C9706536  |LT Single Wire FLRYA 1.5 B/G            |                |                |    315 |MM|
|S000654220|Circuit 0028 FLRYA 0.75 G/BR     |L  |     |C9704068  |LT Single Wire FLRYA 0.75 G/BR          |                |                |    655 |MM|
|S000654220|Circuit 0028 FLRYA 0.75 G/BR     |L  |L    |7116568302|Terminal GET Female 0.64mm Unsealed     |                |                |      1 |PC|
|S000654220|Circuit 0028 FLRYA 0.75 G/BR     |L  |R    |7116541702|Terminal GET Female 0.64mm Unsealed     |                |                |      1 |PC|
|S000665071|Circuit 0003 ACW0219 0.75 L      |L  |     |H7504090  |LT Single Wire ACW0219 0.75 L           |                |                |    720 |MM|
|S000665071|Circuit 0003 ACW0219 0.75 L      |L  |L    |7116410302|Terminal YESC Female 1.5mm Sealed       |                |                |      1 |PC|
|S000665071|Circuit 0003 ACW0219 0.75 L      |L  |R    |7116390502|Terminal MX 150 Female 1.5mm Sealed     |                |                |      1 |PC|
|S000665071|Circuit 0003 ACW0219 0.75 L      |L  |L    |7157339660|Single Wire Seal Green                  |                |                |      1 |PC|
|S000665073|Circuit 0005 ACW0219 0.75 Y/G    |L  |R    |7116390502|Terminal MX 150 Female 1.5mm Sealed     |                |                |      1 |PC|
|S000665073|Circuit 0005 ACW0219 0.75 Y/G    |L  |L    |7196053706|Terminal Generation Y Female 0.64mm Unse|                |                |      1 |PC|
|S000665073|Circuit 0005 ACW0219 0.75 Y/G    |L  |     |H7504076  |LT Single Wire ACW0219 0.75 Y/G         |                |                |    630 |MM|
|S000665079|Circuit 0014 ACW0219 0.75 G/V    |L  |R    |7116390502|Terminal MX 150 Female 1.5mm Sealed     |                |                |      1 |PC|
|S000665079|Circuit 0014 ACW0219 0.75 G/V    |L  |L    |7196053706|Terminal Generation Y Female 0.64mm Unse|                |                |      1 |PC|
|S000665079|Circuit 0014 ACW0219 0.75 G/V    |L  |     |H7504066  |LT Single Wire ACW0219 0.75 G/V         |                |                |    630 |MM|
|S000665080|Circuit 0015 ACW0219 0.75 GY/L   |L  |R    |7116390502|Terminal MX 150 Female 1.5mm Sealed     |                |                |      1 |PC|
|S000665080|Circuit 0015 ACW0219 0.75 GY/L   |L  |L    |7196053706|Terminal Generation Y Female 0.64mm Unse|                |                |      1 |PC|
|S000665080|Circuit 0015 ACW0219 0.75 GY/L   |L  |     |H7504011  |LT Single Wire ACW0219 0.75 GY/L        |                |                |    630 |MM|
|S000665081|Circuit 0016 ACW0219 1.5 B/Y     |L  |     |H7506537  |LT Single Wire ACW0219 1.5 B/Y          |                |                |    400 |MM|
|S000665081|Circuit 0016 ACW0219 1.5 B/Y     |L  |L    |7116415202|Terminal YESC Female 2.8mm Sealed       |                |                |      1 |PC|
|S000665081|Circuit 0016 ACW0219 1.5 B/Y     |L  |R    |70091902  |Eyelet Terminal 6mm                     |                |                |      1 |PC|
|S000665081|Circuit 0016 ACW0219 1.5 B/Y     |L  |L    |7158311340|Single Wire Seal White                  |                |                |      1 |PC|
